,date,value,community
809,2013-08-01,25000,47
810,2013-09-01,25000,47
811,2013-10-01,28750,47
812,2013-11-01,85250,47
813,2013-12-01,85250,47
814,2014-01-01,85000,47
815,2014-02-01,33500,47
816,2014-03-01,33500,47
817,2014-04-01,31750,47
818,2014-05-01,68000,47
819,2014-06-01,68000,47
820,2014-07-01,68000,47
821,2014-09-01,128250,47
822,2014-10-01,128250,47
823,2014-11-01,128250,47
824,2014-12-01,90000,47
825,2015-01-01,107250,47
826,2015-02-01,107250,47
827,2015-03-01,125000,47
828,2015-04-01,105000,47
829,2015-05-01,105000,47
830,2015-08-01,121500,47
831,2015-09-01,113330,47
832,2015-10-01,113330,47
833,2015-11-01,100000,47
834,2015-12-01,83250,47
835,2016-01-01,39750,47
836,2016-02-01,27000,47
837,2016-03-01,86000,47
838,2016-04-01,145000,47
839,2016-05-01,135500,47
840,2016-06-01,135500,47
841,2016-07-01,135500,47
842,2016-08-01,130250,47
843,2016-09-01,80000,47
844,2016-10-01,84500,47
845,2016-11-01,84500,47
846,2016-12-01,145000,47
847,2017-01-01,145000,47
848,2012-01-01,104000,48
849,2012-02-01,86000,48
850,2012-03-01,80000,48
851,2012-04-01,80000,48
852,2012-05-01,132500,48
853,2012-06-01,87750,48
854,2012-07-01,92750,48
855,2012-08-01,100000,48
856,2012-09-01,128000,48
857,2012-10-01,128000,48
858,2012-11-01,67000,48
859,2012-12-01,69000,48
860,2013-01-01,73000,48
861,2013-02-01,85000,48
862,2013-03-01,115250,48
863,2013-04-01,142750,48
864,2013-05-01,115750,48
865,2013-06-01,54750,48
866,2013-07-01,63500,48
867,2013-08-01,57750,48
868,2013-09-01,58500,48
869,2013-10-01,65500,48
870,2013-11-01,115000,48
871,2013-12-01,136000,48
872,2014-01-01,142250,48
873,2014-02-01,130000,48
874,2014-03-01,130000,48
875,2014-04-01,130000,48
876,2014-05-01,150000,48
877,2014-06-01,155000,48
878,2014-07-01,161500,48
879,2014-08-01,160000,48
880,2014-09-01,169000,48
881,2014-10-01,166500,48
882,2014-11-01,158000,48
883,2014-12-01,150000,48
884,2015-01-01,140000,48
885,2015-02-01,125000,48
886,2015-03-01,130000,48
887,2015-04-01,125500,48
888,2015-05-01,135000,48
889,2015-06-01,154500,48
890,2015-07-01,163250,48
891,2015-08-01,163000,48
892,2015-09-01,160000,48
893,2015-10-01,150000,48
894,2015-11-01,145000,48
895,2015-12-01,133500,48
896,2016-01-01,125000,48
897,2016-02-01,152000,48
898,2016-03-01,157000,48
899,2016-04-01,155250,48
900,2016-05-01,153000,48
901,2016-06-01,153000,48
902,2016-07-01,161000,48
903,2016-08-01,165000,48
904,2016-09-01,165000,48
905,2016-10-01,160000,48
906,2016-11-01,157500,48
907,2016-12-01,153000,48
908,2017-01-01,153000,48
909,2012-01-01,192500,61
910,2012-02-01,245000,61
911,2012-03-01,187500,61
912,2012-04-01,130000,61
913,2012-05-01,68250,61
914,2012-06-01,94000,61
915,2012-07-01,117000,61
916,2012-08-01,238000,61
917,2012-09-01,238000,61
918,2012-10-01,238000,61
919,2012-11-01,155000,61
920,2012-12-01,155000,61
921,2013-01-01,220000,61
922,2013-02-01,215000,61
923,2013-03-01,265000,61
924,2013-04-01,215000,61
925,2013-05-01,71250,61
926,2013-06-01,40000,61
927,2013-07-01,62000,61
928,2013-08-01,166000,61
929,2013-09-01,155000,61
930,2013-10-01,166000,61
931,2013-11-01,142000,61
932,2013-12-01,165000,61
933,2014-01-01,165000,61
934,2014-02-01,180000,61
935,2014-03-01,194000,61
936,2014-04-01,194000,61
937,2014-05-01,92500,61
938,2014-06-01,173750,61
939,2014-07-01,255000,61
940,2014-08-01,255000,61
941,2014-09-01,268500,61
942,2014-10-01,225000,61
943,2014-11-01,250000,61
944,2014-12-01,225000,61
945,2015-01-01,60000,61
946,2015-02-01,150000,61
947,2015-03-01,169000,61
948,2015-04-01,189000,61
949,2015-05-01,225000,61
950,2015-06-01,224500,61
951,2015-07-01,266000,61
952,2015-08-01,245500,61
953,2015-09-01,230500,61
954,2015-10-01,235000,61
955,2015-11-01,230500,61
956,2015-12-01,284750,61
957,2016-01-01,284750,61
958,2016-02-01,292500,61
959,2016-03-01,218000,61
960,2016-04-01,183000,61
961,2016-05-01,168000,61
962,2016-06-01,249900,61
963,2016-07-01,176450,61
964,2016-08-01,261000,61
965,2016-09-01,225000,61
966,2016-10-01,222000,61
967,2016-11-01,147500,61
968,2016-12-01,150000,61
969,2017-01-01,150000,61
970,2012-01-01,115000,44
971,2012-02-01,101000,44
972,2012-03-01,113000,44
973,2012-04-01,125000,44
974,2012-05-01,132500,44
975,2012-06-01,125000,44
976,2012-07-01,83000,44
977,2012-08-01,78000,44
978,2012-09-01,70000,44
979,2012-10-01,94500,44
980,2012-11-01,99000,44
981,2012-12-01,95000,44
982,2013-01-01,47000,44
983,2013-02-01,115000,44
984,2013-03-01,90000,44
985,2013-04-01,103500,44
986,2013-05-01,90000,44
987,2013-06-01,102000,44
988,2013-07-01,90000,44
989,2013-08-01,100750,44
990,2013-09-01,107250,44
991,2013-10-01,141500,44
992,2013-11-01,141500,44
993,2013-12-01,150000,44
994,2014-01-01,120000,44
995,2014-02-01,139500,44
996,2014-03-01,114000,44
