,date,value,community
201,2016-10-01,345000,Bridgeport
202,2016-11-01,337500,Bridgeport
203,2016-12-01,300000,Bridgeport
204,2017-01-01,322000,Bridgeport
144,2012-01-01,60000,Brighton Park
145,2012-02-01,65000,Brighton Park
146,2012-03-01,65000,Brighton Park
147,2012-04-01,65000,Brighton Park
148,2012-05-01,64000,Brighton Park
149,2012-06-01,63500,Brighton Park
150,2012-07-01,53750,Brighton Park
151,2012-08-01,59000,Brighton Park
152,2012-09-01,71000,Brighton Park
153,2012-10-01,97500,Brighton Park
154,2012-11-01,90000,Brighton Park
155,2012-12-01,90000,Brighton Park
156,2013-01-01,59500,Brighton Park
157,2013-02-01,73000,Brighton Park
158,2013-03-01,73000,Brighton Park
159,2013-04-01,72000,Brighton Park
160,2013-05-01,82000,Brighton Park
161,2013-06-01,82250,Brighton Park
162,2013-07-01,90000,Brighton Park
163,2013-08-01,87500,Brighton Park
164,2013-09-01,90000,Brighton Park
165,2013-10-01,90000,Brighton Park
166,2013-11-01,100000,Brighton Park
167,2013-12-01,95000,Brighton Park
168,2014-01-01,110000,Brighton Park
169,2014-02-01,77750,Brighton Park
170,2014-03-01,85000,Brighton Park
171,2014-04-01,80000,Brighton Park
172,2014-05-01,82500,Brighton Park
173,2014-06-01,100000,Brighton Park
174,2014-07-01,102750,Brighton Park
175,2014-08-01,122000,Brighton Park
176,2014-09-01,117500,Brighton Park
177,2014-10-01,137000,Brighton Park
178,2014-11-01,137000,Brighton Park
179,2014-12-01,138000,Brighton Park
180,2015-01-01,77750,Brighton Park
181,2015-02-01,136500,Brighton Park
182,2015-03-01,146500,Brighton Park
183,2015-04-01,146500,Brighton Park
184,2015-05-01,130000,Brighton Park
185,2015-06-01,138000,Brighton Park
186,2015-07-01,146000,Brighton Park
187,2015-08-01,146000,Brighton Park
188,2015-09-01,139500,Brighton Park
189,2015-10-01,137750,Brighton Park
190,2015-11-01,160000,Brighton Park
191,2015-12-01,150000,Brighton Park
192,2016-01-01,147000,Brighton Park
193,2016-02-01,143750,Brighton Park
194,2016-03-01,144000,Brighton Park
195,2016-04-01,157000,Brighton Park
196,2016-05-01,169500,Brighton Park
197,2016-06-01,175000,Brighton Park
198,2016-07-01,124000,Brighton Park
199,2016-08-01,117500,Brighton Park
200,2016-09-01,165000,Brighton Park
201,2016-10-01,159500,Brighton Park
202,2016-11-01,159000,Brighton Park
203,2016-12-01,142250,Brighton Park
204,2017-01-01,158000,Brighton Park
144,2012-01-01,374750,Logan Square
145,2012-02-01,316000,Logan Square
146,2012-03-01,339000,Logan Square
147,2012-04-01,270000,Logan Square
148,2012-05-01,260000,Logan Square
149,2012-06-01,350000,Logan Square
150,2012-07-01,388000,Logan Square
151,2012-08-01,422000,Logan Square
152,2012-09-01,399000,Logan Square
153,2012-10-01,366500,Logan Square
154,2012-11-01,360000,Logan Square
155,2012-12-01,400000,Logan Square
156,2013-01-01,432500,Logan Square
157,2013-02-01,425000,Logan Square
158,2013-03-01,358000,Logan Square
159,2013-04-01,355500,Logan Square
160,2013-05-01,343250,Logan Square
161,2013-06-01,399000,Logan Square
162,2013-07-01,400000,Logan Square
163,2013-08-01,428000,Logan Square
164,2013-09-01,432500,Logan Square
165,2013-10-01,437500,Logan Square
166,2013-11-01,430000,Logan Square
